task_id,worker_id,label,true_label,is_colluder,gang_id
t_00014,w_0008,1,0,0,normal
t_00014,w_0009,0,0,0,normal
t_00015,w_0004,3,3,1,gang_00
t_00015,w_0015,1,3,0,normal
t_00015,w_0001,3,3,1,gang_00
t_00015,w_0011,3,3,0,normal
t_00015,w_0002,3,3,1,gang_00
t_00015,w_0010,3,3,0,normal
t_00016,w_0004,3,3,1,gang_00
t_00016,w_0016,3,3,0,normal
t_00016,w_0013,3,3,0,normal
t_00016,w_0005,3,3,1,gang_00
t_00016,w_0023,3,3,0,normal
t_00016,w_0014,3,3,0,normal
t_00017,w_0021,0,0,0,normal
t_00017,w_0014,1,0,0,normal
t_00017,w_0022,0,0,0,normal
t_00017,w_0004,3,0,1,gang_00
t_00017,w_0012,3,0,0,normal
t_00017,w_0002,3,0,1,gang_00
t_00018,w_0008,0,3,0,normal
t_00018,w_0001,0,3,1,gang_00
t_00018,w_0006,3,3,1,gang_00
t_00018,w_0020,1,3,0,normal
t_00018,w_0015,3,3,0,normal
t_00018,w_0002,3,3,1,gang_00
t_00019,w_0000,3,3,1,gang_00
t_00019,w_0009,3,3,0,normal
t_00019,w_0007,3,3,0,normal
t_00019,w_0022,3,3,0,normal
t_00019,w_0003,1,3,1,gang_00
t_00019,w_0017,3,3,0,normal
t_00020,w_0008,1,1,0,normal
t_00020,w_0006,1,1,1,gang_00
t_00020,w_0019,1,1,0,normal
t_00020,w_0022,1,1,0,normal
t_00020,w_0017,1,1,0,normal
t_00020,w_0003,1,1,1,gang_00
t_00021,w_0019,1,1,0,normal
t_00021,w_0009,1,1,0,normal
t_00021,w_0021,1,1,0,normal
t_00021,w_0001,1,1,1,gang_00
t_00021,w_0000,1,1,1,gang_00
t_00021,w_0012,1,1,0,normal
t_00022,w_0012,3,3,0,normal
t_00022,w_0021,3,3,0,normal
t_00022,w_0002,3,3,1,gang_00
t_00022,w_0006,3,3,1,gang_00
t_00022,w_0019,3,3,0,normal
t_00022,w_0001,3,3,1,gang_00
t_00023,w_0006,3,3,1,gang_00
t_00023,w_0007,3,3,0,normal
t_00023,w_0020,0,3,0,normal
t_00023,w_0005,3,3,1,gang_00
t_00023,w_0000,2,3,1,gang_00
t_00023,w_0001,3,3,1,gang_00
t_00024,w_0013,0,0,0,normal
t_00024,w_0012,0,0,0,normal
t_00024,w_0019,0,0,0,normal
t_00024,w_0009,0,0,0,normal
t_00024,w_0014,1,0,0,normal
t_00024,w_0007,1,0,0,normal
t_00025,w_0015,2,2,0,normal
t_00025,w_0000,2,2,1,gang_00
t_00025,w_0014,2,2,0,normal
t_00025,w_0021,2,2,0,normal
t_00025,w_0023,2,2,0,normal
t_00025,w_0019,2,2,0,normal
t_00026,w_0003,1,1,1,gang_00
t_00026,w_0001,1,1,1,gang_00
t_00026,w_0009,1,1,0,normal
t_00026,w_0016,1,1,0,normal
t_00026,w_0015,1,1,0,normal
t_00026,w_0000,1,1,1,gang_00
t_00027,w_0018,1,1,0,normal
t_00027,w_0010,1,1,0,normal
t_00027,w_0008,1,1,0,normal
t_00027,w_0020,1,1,0,normal
t_00027,w_0004,1,1,1,gang_00
t_00027,w_0005,1,1,1,gang_00
t_00028,w_0002,3,3,1,gang_00
t_00028,w_0001,1,3,1,gang_00
t_00028,w_0016,2,3,0,normal
t_00028,w_0008,3,3,0,normal
t_00028,w_0003,3,3,1,gang_00
t_00028,w_0022,2,3,0,normal
t_00029,w_0012,2,2,0,normal
t_00029,w_0015,2,2,0,normal
t_00029,w_0000,2,2,1,gang_00
t_00029,w_0006,2,2,1,gang_00
t_00029,w_0011,2,2,0,normal
t_00029,w_0022,2,2,0,normal
t_00030,w_0001,2,1,1,gang_00
t_00030,w_0019,1,1,0,normal
t_00030,w_0008,1,1,0,normal
t_00030,w_0022,1,1,0,normal
t_00030,w_0016,3,1,0,normal
t_00030,w_0015,1,1,0,normal
t_00031,w_0012,3,3,0,normal
t_00031,w_0001,3,3,1,gang_00
t_00031,w_0005,1,3,1,gang_00
t_00031,w_0014,3,3,0,normal
t_00031,w_0016,2,3,0,normal
t_00031,w_0018,3,3,0,normal
t_00032,w_0004,2,2,1,gang_00
t_00032,w_0007,2,2,0,normal
t_00032,w_0012,2,2,0,normal
t_00032,w_0023,3,2,0,normal
t_00032,w_0006,1,2,1,gang_00
t_00032,w_0015,2,2,0,normal
t_00033,w_0008,3,3,0,normal
t_00033,w_0003,3,3,1,gang_00
t_00033,w_0018,3,3,0,normal
t_00033,w_0002,3,3,1,gang_00
t_00033,w_0016,3,3,0,normal
t_00033,w_0001,3,3,1,gang_00
t_00034,w_0010,0,0,0,normal
t_00034,w_0013,0,0,0,normal
t_00034,w_0016,0,0,0,normal
t_00034,w_0014,0,0,0,normal
t_00034,w_0022,0,0,0,normal
t_00034,w_0008,1,0,0,normal
t_00035,w_0012,3,3,0,normal
t_00035,w_0004,3,3,1,gang_00
t_00035,w_0014,3,3,0,normal
t_00035,w_0005,3,3,1,gang_00
t_00035,w_0002,3,3,1,gang_00
t_00035,w_0009,3,3,0,normal
t_00036,w_0012,2,3,0,normal
t_00036,w_0007,3,3,0,normal
t_00036,w_0021,3,3,0,normal
t_00036,w_0020,3,3,0,normal
t_00036,w_0008,3,3,0,normal
t_00036,w_0005,3,3,1,gang_00
t_00037,w_0007,2,2,0,normal
t_00037,w_0018,2,2,0,normal
t_00037,w_0002,0,2,1,gang_00
t_00037,w_0006,2,2,1,gang_00
t_00037,w_0005,2,2,1,gang_00
t_00037,w_0009,2,2,0,normal
t_00038,w_0010,1,1,0,normal
t_00038,w_0000,1,1,1,gang_00
t_00038,w_0015,1,1,0,normal
t_00038,w_0021,1,1,0,normal
t_00038,w_0014,2,1,0,normal
t_00038,w_0019,1,1,0,normal
t_00039,w_0007,1,1,0,normal
t_00039,w_0022,1,1,0,normal
t_00039,w_0021,1,1,0,normal
t_00039,w_0019,1,1,0,normal
t_00039,w_0005,1,1,1,gang_00
t_00039,w_0004,1,1,1,gang_00
t_00040,w_0003,2,0,1,gang_00
t_00040,w_0014,0,0,0,normal
t_00040,w_0015,0,0,0,normal
t_00040,w_0009,0,0,0,normal
t_00040,w_0007,0,0,0,normal
t_00040,w_0002,0,0,1,gang_00
t_00041,w_0021,1,1,0,normal
t_00041,w_0023,1,1,0,normal
t_00041,w_0007,2,1,0,normal
t_00041,w_0003,1,1,1,gang_00
t_00041,w_0005,1,1,1,gang_00
t_00041,w_0011,1,1,0,normal
t_00042,w_0016,3,3,0,normal
t_00042,w_0006,0,3,1,gang_00
t_00042,w_0021,3,3,0,normal
t_00042,w_0001,0,3,1,gang_00
t_00042,w_0000,3,3,1,gang_00
t_00042,w_0005,3,3,1,gang_00
t_00043,w_0000,1,1,1,gang_00
t_00043,w_0004,1,1,1,gang_00
t_00043,w_0011,1,1,0,normal
t_00043,w_0010,1,1,0,normal
t_00043,w_0018,1,1,0,normal
t_00043,w_0009,1,1,0,normal
t_00044,w_0016,3,3,0,normal
t_00044,w_0008,3,3,0,normal
t_00044,w_0007,3,3,0,normal
t_00044,w_0003,2,3,1,gang_00
t_00044,w_0004,2,3,1,gang_00
t_00044,w_0020,3,3,0,normal
t_00045,w_0021,1,1,0,normal
t_00045,w_0010,1,1,0,normal
t_00045,w_0012,1,1,0,normal
t_00045,w_0007,1,1,0,normal
t_00045,w_0018,1,1,0,normal
t_00045,w_0009,1,1,0,normal
t_00046,w_0022,2,2,0,normal
t_00046,w_0005,2,2,1,gang_00
t_00046,w_0014,2,2,0,normal
t_00046,w_0009,2,2,0,normal
t_00046,w_0007,2,2,0,normal
t_00046,w_0013,2,2,0,normal
t_00047,w_0020,1,1,0,normal
t_00047,w_0007,1,1,0,normal
t_00047,w_0013,1,1,0,normal
t_00047,w_0005,1,1,1,gang_00
t_00047,w_0008,2,1,0,normal
t_00047,w_0004,1,1,1,gang_00
t_00048,w_0021,2,2,0,normal
t_00048,w_0012,2,2,0,normal
t_00048,w_0019,2,2,0,normal
t_00048,w_0005,2,2,1,gang_00
t_00048,w_0011,1,2,0,normal
t_00048,w_0018,2,2,0,normal
t_00049,w_0013,2,1,0,normal
t_00049,w_0019,1,1,0,normal
t_00049,w_0008,3,1,0,normal
t_00049,w_0022,1,1,0,normal
t_00049,w_0015,2,1,0,normal
t_00049,w_0017,1,1,0,normal
t_00050,w_0016,3,3,0,normal
t_00050,w_0003,2,3,1,gang_00
t_00050,w_0001,3,3,1,gang_00
t_00050,w_0013,3,3,0,normal
t_00050,w_0018,3,3,0,normal
t_00050,w_0019,3,3,0,normal
t_00051,w_0007,2,2,0,normal
t_00051,w_0023,2,2,0,normal
t_00051,w_0018,2,2,0,normal
t_00051,w_0001,3,2,1,gang_00
t_00051,w_0017,2,2,0,normal
t_00051,w_0022,2,2,0,normal
t_00052,w_0006,0,0,1,gang_00
t_00052,w_0007,2,0,0,normal
t_00052,w_0013,0,0,0,normal
t_00052,w_0004,0,0,1,gang_00
t_00052,w_0016,0,0,0,normal
t_00052,w_0003,0,0,1,gang_00
t_00053,w_0000,3,3,1,gang_00
t_00053,w_0023,3,3,0,normal
t_00053,w_0004,3,3,1,gang_00
t_00053,w_0010,0,3,0,normal
t_00053,w_0021,3,3,0,normal
t_00053,w_0015,3,3,0,normal
t_00054,w_0009,2,2,0,normal
t_00054,w_0011,2,2,0,normal
t_00054,w_0018,1,2,0,normal
t_00054,w_0012,2,2,0,normal
t_00054,w_0005,3,2,1,gang_00
t_00054,w_0002,2,2,1,gang_00
t_00055,w_0022,2,2,0,normal
t_00055,w_0003,2,2,1,gang_00
t_00055,w_0009,2,2,0,normal
t_00055,w_0013,2,2,0,normal
t_00055,w_0020,2,2,0,normal
t_00055,w_0021,2,2,0,normal
t_00056,w_0016,3,3,0,normal
t_00056,w_0020,3,3,0,normal
t_00056,w_0002,2,3,1,gang_00
t_00056,w_0000,3,3,1,gang_00
t_00056,w_0012,3,3,0,normal
t_00056,w_0018,3,3,0,normal
t_00057,w_0022,2,1,0,normal
t_00057,w_0002,1,1,1,gang_00
t_00057,w_0010,1,1,0,normal
t_00057,w_0021,1,1,0,normal
t_00057,w_0004,2,1,1,gang_00
t_00057,w_0006,2,1,1,gang_00
t_00058,w_0000,0,0,1,gang_00
t_00058,w_0007,0,0,0,normal
t_00058,w_0013,0,0,0,normal
t_00058,w_0015,0,0,0,normal
t_00058,w_0021,0,0,0,normal
t_00058,w_0009,0,0,0,normal
t_00059,w_0005,2,2,1,gang_00
t_00059,w_0014,2,2,0,normal
t_00059,w_0000,1,2,1,gang_00
t_00059,w_0017,2,2,0,normal
t_00059,w_0007,2,2,0,normal
t_00059,w_0018,2,2,0,normal
